time,x,y,z,gforce
1.161,-0.028,0.768,0.993,1.256
1.163,-0.033,0.770,1.018,1.276
1.166,-0.043,0.778,1.016,1.280
1.168,-0.040,0.793,1.027,1.298
1.171,-0.047,0.794,1.035,1.305
1.173,-0.038,0.799,1.050,1.320
1.176,-0.031,0.807,1.050,1.324
1.178,-0.014,0.822,1.061,1.342
1.186,0.001,0.831,1.056,1.344
1.186,0.015,0.824,1.056,1.339
1.186,0.026,0.821,1.058,1.339
1.188,0.033,0.822,1.065,1.345
1.190,0.044,0.818,1.069,1.347
1.193,0.048,0.822,1.074,1.353
1.195,0.047,0.822,1.081,1.359
1.205,0.054,0.829,1.082,1.364
1.205,0.053,0.839,1.095,1.381
1.205,0.050,0.851,1.113,1.402
1.205,0.050,0.867,1.107,1.407
1.208,0.065,0.876,1.116,1.420
1.210,0.068,0.877,1.126,1.429
1.213,0.076,0.878,1.105,1.413
1.216,0.084,0.872,1.101,1.407
1.218,0.094,0.862,1.100,1.401
1.220,0.099,0.846,1.101,1.393
1.223,0.108,0.836,1.092,1.379
1.225,0.109,0.820,1.079,1.360
1.228,0.108,0.815,1.067,1.346
1.230,0.110,0.797,1.055,1.327
1.232,0.099,0.796,1.048,1.320
1.241,0.104,0.787,1.051,1.317
1.242,0.101,0.783,1.055,1.318
1.242,0.097,0.768,1.052,1.307
1.242,0.103,0.758,1.043,1.294
1.245,0.102,0.748,1.050,1.293
1.249,0.100,0.738,1.049,1.286
1.251,0.107,0.731,1.047,1.281
1.254,0.106,0.721,1.049,1.277
1.256,0.108,0.713,1.036,1.263
1.257,0.106,0.707,1.041,1.263
1.260,0.116,0.693,1.035,1.252
1.262,0.113,0.685,1.025,1.238
1.265,0.114,0.672,1.018,1.226
1.267,0.111,0.664,1.009,1.213
1.270,0.101,0.649,1.003,1.199
1.272,0.098,0.634,1.000,1.188
1.274,0.090,0.630,1.007,1.191
1.277,0.088,0.626,1.012,1.193
1.280,0.096,0.617,1.014,1.191
1.282,0.096,0.616,1.018,1.194
1.284,0.098,0.618,1.034,1.209
1.287,0.102,0.613,1.047,1.217
1.289,0.104,0.616,1.051,1.223
1.292,0.102,0.614,1.066,1.234
1.294,0.097,0.614,1.078,1.244
1.297,0.090,0.616,1.089,1.255
1.300,0.090,0.612,1.087,1.251
1.304,0.082,0.614,1.086,1.250
1.304,0.071,0.622,1.081,1.249
1.307,0.068,0.602,1.074,1.233
1.309,0.067,0.603,1.062,1.223
1.312,0.068,0.604,1.039,1.204
1.316,0.071,0.606,1.021,1.189
1.317,0.076,0.605,0.984,1.158
1.319,0.085,0.606,0.958,1.137
1.321,0.092,0.604,0.929,1.112
1.324,0.094,0.604,0.899,1.087
1.326,0.105,0.595,0.864,1.054
1.329,0.114,0.591,0.843,1.036
1.332,0.115,0.586,0.810,1.007
1.334,0.116,0.579,0.781,0.979
1.336,0.127,0.573,0.753,0.955
1.339,0.131,0.570,0.726,0.932
1.341,0.125,0.566,0.694,0.904
1.344,0.131,0.563,0.670,0.885
1.346,0.130,0.561,0.643,0.863
1.349,0.129,0.557,0.621,0.844
1.351,0.121,0.562,0.609,0.837
1.354,0.125,0.553,0.581,0.812
1.356,0.124,0.548,0.563,0.795
1.359,0.131,0.548,0.556,0.792
1.361,0.138,0.539,0.546,0.780
1.364,0.138,0.543,0.538,0.777
1.366,0.135,0.531,0.539,0.769
1.369,0.136,0.527,0.541,0.768
1.371,0.131,0.532,0.531,0.763
1.373,0.132,0.523,0.537,0.761
1.376,0.120,0.521,0.543,0.762
1.378,0.106,0.508,0.545,0.752
1.381,0.103,0.509,0.554,0.760
1.384,0.084,0.509,0.574,0.772
1.386,0.079,0.508,0.597,0.788
1.389,0.077,0.512,0.625,0.812
1.391,0.072,0.514,0.648,0.830
1.393,0.066,0.529,0.682,0.866
1.396,0.072,0.533,0.709,0.890
1.400,0.066,0.540,0.729,0.910
1.401,0.063,0.540,0.758,0.933
1.404,0.053,0.539,0.783,0.952
1.406,0.046,0.539,0.798,0.965
1.408,0.031,0.541,0.809,0.974
1.410,0.015,0.535,0.817,0.977
1.413,0.021,0.544,0.817,0.982
1.416,0.011,0.538,0.798,0.962
1.418,0.004,0.535,0.787,0.951
1.421,-0.002,0.537,0.769,0.938
1.423,-0.015,0.530,0.750,0.918
1.425,-0.016,0.534,0.735,0.909
1.428,-0.021,0.524,0.716,0.888
1.430,-0.026,0.522,0.692,0.867
1.433,-0.022,0.504,0.675,0.843
1.435,-0.022,0.506,0.650,0.824
1.438,-0.016,0.497,0.638,0.809
1.440,-0.008,0.482,0.625,0.789
1.443,-0.012,0.476,0.595,0.763
1.445,-0.002,0.460,0.579,0.739
1.448,-0.012,0.454,0.562,0.723
1.451,-0.014,0.460,0.552,0.719
1.453,-0.007,0.439,0.534,0.692
1.455,-0.008,0.441,0.515,0.678
1.458,0.008,0.439,0.516,0.678
1.460,0.003,0.437,0.500,0.664
1.463,0.007,0.442,0.505,0.671
1.468,0.017,0.442,0.511,0.676
1.468,0.048,0.425,0.574,0.716
1.470,0.013,0.447,0.501,0.671
1.473,-0.004,0.478,0.474,0.673
1.475,-0.006,0.501,0.478,0.692
1.477,-0.019,0.516,0.496,0.716
1.480,-0.027,0.529,0.496,0.726
1.487,-0.030,0.537,0.484,0.724
1.488,-0.031,0.542,0.476,0.722
1.488,-0.017,0.540,0.479,0.722
1.490,0.004,0.541,0.496,0.734
1.492,0.018,0.541,0.500,0.737
1.495,0.019,0.529,0.493,0.723
1.497,0.035,0.537,0.498,0.733
1.500,0.035,0.522,0.486,0.714
1.503,0.036,0.530,0.486,0.720
1.505,0.042,0.529,0.490,0.722
1.507,0.036,0.533,0.494,0.728
1.510,0.036,0.532,0.513,0.740
1.512,0.037,0.540,0.527,0.756
1.515,0.045,0.541,0.538,0.764
1.517,0.044,0.548,0.549,0.777
1.520,0.045,0.546,0.552,0.778
1.522,0.043,0.558,0.553,0.787
1.524,0.041,0.561,0.564,0.797
1.527,0.045,0.560,0.568,0.799
1.529,0.058,0.566,0.559,0.798
1.533,0.061,0.562,0.569,0.802
1.534,0.071,0.567,0.559,0.799
1.537,0.074,0.569,0.558,0.800
1.540,0.079,0.576,0.555,0.804
1.542,0.083,0.576,0.551,0.802
1.544,0.073,0.580,0.555,0.806
1.547,0.070,0.583,0.561,0.812
1.549,0.066,0.588,0.557,0.813
1.552,0.062,0.599,0.557,0.820
1.554,0.066,0.612,0.573,0.841
1.557,0.079,0.618,0.580,0.851
1.559,0.078,0.620,0.600,0.866
1.562,0.090,0.632,0.608,0.882
1.564,0.087,0.620,0.618,0.880
1.567,0.094,0.631,0.624,0.892
1.569,0.092,0.634,0.634,0.901
1.572,0.095,0.631,0.636,0.901
1.574,0.098,0.626,0.649,0.907
1.577,0.105,0.636,0.654,0.918
1.579,0.101,0.648,0.653,0.926
1.581,0.107,0.646,0.663,0.931
1.587,0.109,0.642,0.669,0.933
1.588,0.109,0.654,0.673,0.945
1.599,0.110,0.663,0.674,0.952
1.600,0.104,0.667,0.679,0.957
1.600,0.100,0.669,0.686,0.963
1.600,0.096,0.676,0.691,0.972
1.600,0.094,0.677,0.691,0.972
1.614,0.089,0.679,0.693,0.974
1.614,0.086,0.682,0.697,0.979
1.614,0.087,0.683,0.685,0.971
1.614,0.091,0.687,0.682,0.972
1.614,0.088,0.694,0.703,0.992
1.614,0.075,0.698,0.706,0.995
1.619,0.070,0.701,0.710,1.001
1.619,0.060,0.697,0.705,0.993
1.621,0.056,0.713,0.699,1.000
1.624,0.040,0.727,0.714,1.020
1.626,0.032,0.726,0.712,1.018
1.628,0.019,0.739,0.723,1.035
1.631,-0.004,0.732,0.729,1.033
1.634,-0.014,0.740,0.723,1.035
1.636,-0.021,0.742,0.737,1.046
1.638,-0.028,0.746,0.747,1.057
1.641,-0.026,0.744,0.766,1.068
1.643,-0.038,0.749,0.761,1.069
1.645,-0.042,0.752,0.760,1.070
1.648,-0.046,0.771,0.755,1.080
1.651,-0.051,0.778,0.760,1.088
1.653,-0.046,0.782,0.752,1.086
1.656,-0.044,0.779,0.754,1.085
1.658,-0.034,0.773,0.745,1.074
1.660,-0.023,0.758,0.762,1.075
1.663,-0.020,0.757,0.764,1.076
1.665,-0.020,0.742,0.750,1.055
1.669,-0.011,0.747,0.764,1.069
1.675,-0.007,0.747,0.757,1.063
1.676,-0.005,0.741,0.764,1.064
1.676,-0.003,0.743,0.763,1.065
1.678,-0.015,0.736,0.771,1.066
1.680,-0.015,0.742,0.780,1.077
1.713,-0.032,0.738,0.774,1.070
1.713,-0.036,0.739,0.768,1.066
